Map,Pokemon,Terrain
Map,Pokemon,Terrain
Crux of Melody Nesting Grounds,Absol,Land
Crux of Melody Nesting Grounds,Bronzor,Land
Crux of Melody Nesting Grounds,Budew,Land
Crux of Melody Nesting Grounds,Hoothoot,Land
Crux of Melody Nesting Grounds,Larvesta,Land
Crux of Melody Nesting Grounds,Phanpy,Land
Crux of Melody Nesting Grounds,Swablu,Land
Crux of Melody Nesting Grounds,Taillow,Land
Pinkan Island Cave,Abra,Land
Pinkan Island Cave,Cubone,Land
Pinkan Island Cave,Gastly,Land
Pinkan Island Cave,Larvitar,Land
Pinkan Island Cave,Mawile,Land
Pinkan Island Cave,Raticate,Land
Pinkan Island Cave,Rattata,Land
Pinkan Island Cave,Vulpix,Land
Pinkan Island Cliff,Barboach,Water
Pinkan Island Cliff,Krabby,Water
Pinkan Island Cliff,Lapras,Water
Pinkan Island Cliff,Marill,Water
Pinkan Island Cliff,Poliwag,Water
Pinkan Island Cliff,Shellder,Water
Pinkan Island Cliff,Staryu,Water
Pinkan Island Cliff,Wingull,Water
Pinkan Island Forest,Azurill,Water
Pinkan Island Forest,Bellsprout,Land
Pinkan Island Forest,Foongus,Land
Pinkan Island Forest,Krabby,Water
Pinkan Island Forest,Lapras,Water
Pinkan Island Forest,Marill,Water
Pinkan Island Forest,Minun,Land
Pinkan Island Forest,Natu,Land
Pinkan Island Forest,Plusle,Land
Pinkan Island Forest,Politoed,Water
Pinkan Island Forest,Psyduck,Water
Pinkan Island Forest,Seel,Water
Pinkan Island Forest,Shellder,Water
Pinkan Island Forest,Solosis,Land
Pinkan Island Forest,Tangela,Land
Pinkan Island Forest,Tangrowth,Land
Pinkan Island Meadow,Barboach,Water
Pinkan Island Meadow,Chikorita,Land
Pinkan Island Meadow,Electrike,Land
Pinkan Island Meadow,Exeggcute,Land
Pinkan Island Meadow,Finneon,Water
Pinkan Island Meadow,Foongus,Land
Pinkan Island Meadow,Kingler,Water
Pinkan Island Meadow,Lumineon,Water
Pinkan Island Meadow,Magikarp,Water
Pinkan Island Meadow,Oddish,Land
Pinkan Island Meadow,Oshawott,Water
Pinkan Island Meadow,Psyduck,Water
Pinkan Island Meadow,Sewaddle,Land
Pinkan Island Meadow,Totodile,Water
Pinkan Island Meadow,Tropius,Land
Pinkan Island Meadow,Vileplume,Land
Pinkan Island Meadow Tunnel,Abra,Land
Pinkan Island Meadow Tunnel,Diglett,Land
Pinkan Island Meadow Tunnel,Dugtrio,Land
Pinkan Island Meadow Tunnel,Marill,Land
Pinkan Island Meadow Tunnel,Parasect,Land
Pinkan Island Meadow Tunnel,Sandile,Land
Pinkan Island Meadow Tunnel,Trapinch,Land
Pinkan Island Meadow Tunnel,Vulpix,Land
Pinkan Island Mountains,Hippopotas,Land
Pinkan Island Mountains,Larvitar,Land
Pinkan Island Mountains,Mankey,Land
Pinkan Island Mountains,Nidorina,Land
Pinkan Island Mountains,Onix,Land
Pinkan Island Mountains,Phanpy,Land
Pinkan Island Mountains,Rhyhorn,Land
Pinkan Island Mountains,Vulpix,Land
Pinkan Island Path,Cottonee,Land
Pinkan Island Path,Marill,Land
Pinkan Island Path,Natu,Land
Pinkan Island Path,Solosis,Land
Pinkan Island Path,Sunkern,Land
Pinkan Island Path,Tauros,Land
Pinkan Island Path,Venonat,Land
Pinkan Island Path,Vulpix,Land
Pinkan Island Peaks,Abra,Land
Pinkan Island Peaks,Girafarig,Land
Pinkan Island Peaks,Pancham,Land
Pinkan Island Peaks,Phanpy,Land
Pinkan Island Peaks,Pidgeotto,Land
Pinkan Island Peaks,Ralts,Land
Pinkan Island Peaks,Vulpix,Land
Pinkan Island Peaks,Weedle,Land
Pinkan Island Vale,Doduo,Land
Pinkan Island Vale,Hawlucha,Land
Pinkan Island Vale,Munchlax,Land
Pinkan Island Vale,Onix,Land
Pinkan Island Vale,Paras,Land
Pinkan Island Vale,Rhyhorn,Land
Pinkan Island Vale,Tauros,Land
Pinkan Island Vale,Vulpix,Land
Pinkan Island Woodlands,Abra,Land
Pinkan Island Woodlands,Donphan,Land
Pinkan Island Woodlands,Mankey,Land
Pinkan Island Woodlands,Pikachu,Land
Pinkan Island Woodlands,Rattata,Land
Pinkan Island Woodlands,Scyther,Land
Pinkan Island Woodlands,Tangela,Land
Pinkan Island Woodlands,Zangoose,Land
Pinkan Island Woodlands Clearing,Cyndaquil,Land
Pinkan Island Woodlands Clearing,Electrike,Land
Pinkan Island Woodlands Clearing,Kakuna,Land
Pinkan Island Woodlands Clearing,Mankey,Land
Pinkan Island Woodlands Clearing,Pidgey,Land
Pinkan Island Woodlands Clearing,Sewaddle,Land
Pinkan Island Woodlands Clearing,Shroomish,Land
Pinkan Island Woodlands Clearing,Smeargle,Land
Pinkan Island Woodlands East,Abra,Land
Pinkan Island Woodlands East,Caterpie,Land
Pinkan Island Woodlands East,Cubone,Land
Pinkan Island Woodlands East,Gastly,Land
Pinkan Island Woodlands East,Petilil,Land
Pinkan Island Woodlands East,Ralts,Land
Pinkan Island Woodlands East,Tropius,Land
Pinkan Island Woodlands East,Zigzagoon,Land
Pinkan Island Woodlands West,Elekid,Land
Pinkan Island Woodlands West,Exeggcute,Land
Pinkan Island Woodlands West,Marill,Land
Pinkan Island Woodlands West,Nidoran F,Land
Pinkan Island Woodlands West,Nidoran M,Land
Pinkan Island Woodlands West,Pichu,Land
Pinkan Island Woodlands West,Smeargle,Land
Pinkan Island Woodlands West,Tangrowth,Land
Pinkan Island Woodlands West,Tauros,Land
